"FID","Shape","OBJECTID","FID_Jornad","ecosite1","ecosite2","ecosite3","SUM_Shape_","FID_JERVeg","DOM1","DOM2","DOM3","SUM_Shape1","Shape_Leng","Shape_Area","GeneralizedStateNumber"
189,"Polygon",190,24,"Sandy","Deep sand"," ",151764991,58,"PLMU3","FLCE","SCBR2",1163875.112,7015.442973,238970.6969,1
190,"Polygon",191,24,"Sandy","Deep sand"," ",151764991,59,"PLMU3","MUPO2","FLCE",83113.45844,1053.868324,37034.09319,1
191,"Polygon",192,24,"Sandy","Deep sand"," ",151764991,61,"PLMU3","PRGL2"," ",189954.2659,3064.463456,189954.2659,1
192,"Polygon",193,24,"Sandy","Deep sand"," ",151764991,63,"PLMU3","SCBR2"," ",1297601.537,1693.797431,71881.19571,1
193,"Polygon",194,24,"Sandy","Deep sand"," ",151764991,64,"PLMU3","SCBR2","FLCE",261641.6974,1987.096681,61231.30728,1
194,"Polygon",195,24,"Sandy","Deep sand"," ",151764991,67,"PLMU3","SCBR2","PRGL2",1165251.326,1966.746387,97144.84871,1
195,"Polygon",196,24,"Sandy","Deep sand"," ",151764991,74,"PRGL2","ARPU9","YUEL",20480.73824,733.180109,15752.34292,1
196,"Polygon",197,24,"Sandy","Deep sand"," ",151764991,75,"PRGL2","BOER4"," ",2136391.017,4825.429293,1168069.235,1
197,"Polygon",198,24,"Sandy","Deep sand"," ",151764991,77,"PRGL2","BOER4","SPFL2",3243984.413,4527.635195,393878.7561,1
198,"Polygon",199,24,"Sandy","Deep sand"," ",151764991,79,"PRGL2","FLCE","PLMU3",3200987.036,4052.862491,216854.8331,1
199,"Polygon",200,24,"Sandy","Deep sand"," ",151764991,81,"PRGL2","LATR2","FLCE",500214.3077,1783.381991,64138.23589,1
200,"Polygon",201,24,"Sandy","Deep sand"," ",151764991,83,"PRGL2","PLMU3"," ",2662502.849,10797.31051,383204.7402,1
201,"Polygon",202,24,"Sandy","Deep sand"," ",151764991,86,"PRGL2","PLMU3","SCBR2",7980669.164,5676.334085,547167.137,1
202,"Polygon",203,24,"Sandy","Deep sand"," ",151764991,87,"PRGL2","PLMU3","SPAI",2179474.814,6470.849315,609627.4931,1
203,"Polygon",204,24,"Sandy","Deep sand"," ",151764991,89,"PRGL2","SCBR2"," ",418134.7967,2980.573506,224223.2238,1
204,"Polygon",205,24,"Sandy","Deep sand"," ",151764991,91,"PRGL2","SCBR2","PLMU3",5336197.438,388.879021,6438.97489,1
205,"Polygon",206,24,"Sandy","Deep sand"," ",151764991,92,"PRGL2","SPFL2"," ",103282.5354,1379.075857,103282.5354,1
206,"Polygon",207,24,"Sandy","Deep sand"," ",151764991,93,"PRGL2","SPFL2","GUSA2",21268255.85,30433.6697,9762939.425,1
207,"Polygon",208,24,"Sandy","Deep sand"," ",151764991,94,"PRGL2","SPFL2","YUEL",10553949.99,5083.873252,378232.4175,2
208,"Polygon",209,24,"Sandy","Deep sand"," ",151764991,97,"PRGL2","YUEL","ERLE",54684.60865,890.725364,54684.60865,1
209,"Polygon",210,24,"Sandy","Deep sand"," ",151764991,98,"PRGL2","YUEL","FLCE",1557292.909,2884.81581,374513.0506,1
210,"Polygon",211,24,"Sandy","Deep sand"," ",151764991,100,"PRGL2","YUEL","SPFL2",6825353.19,16008.37743,4964043.016,1
211,"Polygon",212,24,"Sandy","Deep sand"," ",151764991,101,"PRGL2"," "," ",57616084.18,83897.7368,32406770.46,1
212,"Polygon",213,24,"Sandy","Deep sand"," ",151764991,105,"PRGL2","ARPU9"," ",7035118.013,7290.320627,2887059.529,1
213,"Polygon",214,24,"Sandy","Deep sand"," ",151764991,106,"PRGL2","ARPU9","GUSA2",633644.9683,2016.827818,176468.8806,1
214,"Polygon",215,24,"Sandy","Deep sand"," ",151764991,107,"PRGL2","ATCA2"," ",9995894.241,18001.34107,5774917.128,1
215,"Polygon",216,24,"Sandy","Deep sand"," ",151764991,108,"PRGL2","ATCA2","FLCE",1867270.281,12857.26403,1860256.427,1
216,"Polygon",217,24,"Sandy","Deep sand"," ",151764991,109,"PRGL2","ATCA2","GUSA2",6681452.926,14894.8249,2578712.816,1
217,"Polygon",218,24,"Sandy","Deep sand"," ",151764991,110,"PRGL2","ATCA2","PLMU3",113981.748,1787.158032,86161.59142,1
218,"Polygon",219,24,"Sandy","Deep sand"," ",151764991,111,"PRGL2","ATCA2","SPAI",1037668.452,2046.772652,76114.20232,1
219,"Polygon",220,24,"Sandy","Deep sand"," ",151764991,112,"PRGL2","ATCA2","YUEL",938874.3449,2055.67284,125909.1648,1
220,"Polygon",221,24,"Sandy","Deep sand"," ",151764991,113,"PRGL2","BOER4","GUSA2",1846261.913,7805.752796,1533147.837,1
221,"Polygon",222,24,"Sandy","Deep sand"," ",151764991,115,"PRGL2","CELA","SCBR2",326787.7083,64.773391,147.573159,1
222,"Polygon",223,24,"Sandy","Deep sand"," ",151764991,116,"PRGL2","FLCE","ATCA2",3507236.075,14969.50298,1132203.647,1
223,"Polygon",224,24,"Sandy","Deep sand"," ",151764991,118,"PRGL2","GUSA2"," ",29724873.71,52388.02667,12686656.6,1
224,"Polygon",225,24,"Sandy","Deep sand"," ",151764991,119,"PRGL2","GUSA2","YUEL",1955386.284,8096.544444,1396325.787,2
225,"Polygon",226,24,"Sandy","Deep sand"," ",151764991,120,"PRGL2","LATR2"," ",1142044.095,7271.612417,1044759.992,1
226,"Polygon",227,24,"Sandy","Deep sand"," ",151764991,121,"PRGL2","LATR2","FLCE",2844662.926,9851.604672,929455.3208,1
227,"Polygon",228,24,"Sandy","Deep sand"," ",151764991,124,"PRGL2","PSSC6"," ",944266.9304,5873.598047,944266.9304,1
228,"Polygon",229,24,"Sandy","Deep sand"," ",151764991,125,"PRGL2","SCBR2","PLMU3",214669.9754,168.012216,1601.045483,1
229,"Polygon",230,24,"Sandy","Deep sand"," ",151764991,126,"PRGL2","SPFL2"," ",61470.9562,947.606835,52623.02661,1
230,"Polygon",231,24,"Sandy","Deep sand"," ",151764991,127,"PRGL2","SPFL2","GUSA2",2072824.431,8904.484396,1069524.748,1
231,"Polygon",232,24,"Sandy","Deep sand"," ",151764991,128,"PRGL2","SPFL2","YUEL",5514872.158,2707.785416,173607.2277,2
232,"Polygon",233,24,"Sandy","Deep sand"," ",151764991,129,"PRGL2","YUEL","ARPU9",410110.9343,259.856683,4508.861845,1
233,"Polygon",234,24,"Sandy","Deep sand"," ",151764991,130,"PRGL2","YUEL","GUSA2",12676395.23,5351.701357,281046.7971,1
234,"Polygon",235,24,"Sandy","Deep sand"," ",151764991,131,"PRGL2"," "," ",455271.0698,2687.50578,228495.5395,1
235,"Polygon",236,24,"Sandy","Deep sand"," ",151764991,132,"PRGL2","ATCA2"," ",61344184.43,44332.49413,15597337.51,1
236,"Polygon",237,24,"Sandy","Deep sand"," ",151764991,133,"PRGL2","GUSA2"," ",39354090.54,56542.70377,26337148.21,1
237,"Polygon",238,24,"Sandy","Deep sand"," ",151764991,134,"PSSC6","PRGL2","ARFI2",819842.4375,5067.829178,819842.4375,6
238,"Polygon",239,24,"Sandy","Deep sand"," ",151764991,135,"PSSC6","PRGL2","GUSA2",467736.0943,3060.078117,467736.0943,6
239,"Polygon",240,24,"Sandy","Deep sand"," ",151764991,136,"PSSC6","SPFL2","YUEL",796861.1881,3305.409585,570706.5932,4
240,"Polygon",241,24,"Sandy","Deep sand"," ",151764991,140,"SCBR2","BOER4","ARPU9",335337.3538,900.312655,26335.10701,1
241,"Polygon",242,24,"Sandy","Deep sand"," ",151764991,145,"SCBR2","KOSP"," ",1174020.295,1727.422093,126061.1086,1
242,"Polygon",243,24,"Sandy","Deep sand"," ",151764991,147,"SCBR2","PLMU3"," ",2426297.229,3441.734078,321912.1353,1
243,"Polygon",244,24,"Sandy","Deep sand"," ",151764991,148,"SCBR2","PLMU3","FLCE",1716426.24,777.668429,29938.22551,1
244,"Polygon",245,24,"Sandy","Deep sand"," ",151764991,149,"SCBR2","PLMU3","OPUNT",3546573.362,2102.056341,46194.92576,1
245,"Polygon",246,24,"Sandy","Deep sand"," ",151764991,150,"SCBR2","PLMU3","PRGL2",1038263.18,1465.729126,40116.19049,1
246,"Polygon",247,24,"Sandy","Deep sand"," ",151764991,155,"SCBR2","SPAI","PLMU3",464154.6361,1842.635816,154581.137,1
247,"Polygon",248,24,"Sandy","Deep sand"," ",151764991,157,"SCBR2","SPFL2","FLCE",704881.4085,3827.613299,704881.4085,1
248,"Polygon",249,24,"Sandy","Deep sand"," ",151764991,159,"SPFL2","ARPU9"," ",251335.0229,2938.21944,232701.826,1
249,"Polygon",250,24,"Sandy","Deep sand"," ",151764991,160,"SPFL2","ARPU9","PRGL2",1203988.032,3847.861933,770223.406,1
250,"Polygon",251,24,"Sandy","Deep sand"," ",151764991,161,"SPFL2","ARPU9","YUEL",7375763.938,21280.1874,4844592.62,1
251,"Polygon",252,24,"Sandy","Deep sand"," ",151764991,162,"SPFL2","GUSA2","PRGL2",884368.1104,2049.827803,226980.9126,2
252,"Polygon",253,24,"Sandy","Deep sand"," ",151764991,163,"SPORO","EPHEDRA"," ",2321955.057,892.243157,12962.92584,4
253,"Polygon",254,24,"Sandy","Deep sand"," ",151764991,164,"YUEL","PRGL2","GUSA2",386546.6708,3246.300924,385065.5681,6
254,"Polygon",255,24,"Sandy","Deep sand"," ",151764991,165,"YUEL","PRGL2"," ",414716.4026,866.972033,24519.24871,6
255,"Polygon",256,25,"Sandy","Deep sand","Shallow sandy",36229137.91,2,"ARPU9","PLMU3","PRGL2",123354.5101,1467.091604,123354.5101,2
256,"Polygon",257,25,"Sandy","Deep sand","Shallow sandy",36229137.91,9,"BOER4","PRGL2","YUEL",1349749.198,7072.027555,1188193.165,1
257,"Polygon",258,25,"Sandy","Deep sand","Shallow sandy",36229137.91,11,"BOER4","SPFL2","PRGL2",3191301.946,301.811318,4043.517904,1
258,"Polygon",259,25,"Sandy","Deep sand","Shallow sandy",36229137.91,26,"FLCE","PLMU3","PRGL2",101920.8984,2094.41451,101920.8984,2
259,"Polygon",260,25,"Sandy","Deep sand","Shallow sandy",36229137.91,30,"FLCE","PRGL2","PLMU3",82068.72888,1667.93307,82068.72888,2
260,"Polygon",261,25,"Sandy","Deep sand","Shallow sandy",36229137.91,58,"PLMU3","FLCE","SCBR2",1163875.112,1536.40423,56423.96749,1
261,"Polygon",262,25,"Sandy","Deep sand","Shallow sandy",36229137.91,66,"PLMU3","SCBR2","OPUNT",1257991.714,970.319878,24011.76075,1
262,"Polygon",263,25,"Sandy","Deep sand","Shallow sandy",36229137.91,75,"PRGL2","BOER4"," ",2136391.017,2307.298499,228806.8069,1
263,"Polygon",264,25,"Sandy","Deep sand","Shallow sandy",36229137.91,78,"PRGL2","BOER4","YUEL",8985471.574,21031.387,4216885.643,1
264,"Polygon",265,25,"Sandy","Deep sand","Shallow sandy",36229137.91,80,"PRGL2","GUSA2"," ",254274.3534,1925.498662,163353.2076,1
265,"Polygon",266,25,"Sandy","Deep sand","Shallow sandy",36229137.91,93,"PRGL2","SPFL2","GUSA2",21268255.85,10498.19412,2500830.736,1
266,"Polygon",267,25,"Sandy","Deep sand","Shallow sandy",36229137.91,94,"PRGL2","SPFL2","YUEL",10553949.99,1461.241589,61670.47198,2
267,"Polygon",268,25,"Sandy","Deep sand","Shallow sandy",36229137.91,95,"PRGL2","YUEL","ARPU9",3571571.024,4156.032143,530904.5267,1
268,"Polygon",269,25,"Sandy","Deep sand","Shallow sandy",36229137.91,96,"PRGL2","YUEL","EPHEDRA",119150.2092,1235.508175,83370.99839,1
269,"Polygon",270,25,"Sandy","Deep sand","Shallow sandy",36229137.91,100,"PRGL2","YUEL","SPFL2",6825353.19,5080.067692,715238.7201,1
270,"Polygon",271,25,"Sandy","Deep sand","Shallow sandy",36229137.91,101,"PRGL2"," "," ",57616084.18,22934.22663,7915063.801,1
271,"Polygon",272,25,"Sandy","Deep sand","Shallow sandy",36229137.91,106,"PRGL2","ARPU9","GUSA2",633644.9683,3140.805566,457176.0878,1
272,"Polygon",273,25,"Sandy","Deep sand","Shallow sandy",36229137.91,107,"PRGL2","ATCA2"," ",9995894.241,7737.49388,1423226.733,1
273,"Polygon",274,25,"Sandy","Deep sand","Shallow sandy",36229137.91,109,"PRGL2","ATCA2","GUSA2",6681452.926,1142.624332,63956.52297,1
274,"Polygon",275,25,"Sandy","Deep sand","Shallow sandy",36229137.91,112,"PRGL2","ATCA2","YUEL",938874.3449,4141.684562,305635.2708,1
275,"Polygon",276,25,"Sandy","Deep sand","Shallow sandy",36229137.91,118,"PRGL2","GUSA2"," ",29724873.71,12156.47321,3149164.897,1
276,"Polygon",277,25,"Sandy","Deep sand","Shallow sandy",36229137.91,119,"PRGL2","GUSA2","YUEL",1955386.284,4490.705844,516917.3557,2
277,"Polygon",278,25,"Sandy","Deep sand","Shallow sandy",36229137.91,130,"PRGL2","YUEL","GUSA2",12676395.23,19777.2891,1721790.838,1
278,"Polygon",279,25,"Sandy","Deep sand","Shallow sandy",36229137.91,133,"PRGL2","GUSA2"," ",39354090.54,20147.09636,8013899.941,1
279,"Polygon",280,25,"Sandy","Deep sand","Shallow sandy",36229137.91,162,"SPFL2","GUSA2","PRGL2",884368.1104,2104.944148,164059.6951,2
280,"Polygon",281,25,"Sandy","Deep sand","Shallow sandy",36229137.91,164,"YUEL","PRGL2","GUSA2",386546.6708,202.616888,1481.102841,6
281,"Polygon",282,25,"Sandy","Deep sand","Shallow sandy",36229137.91,165,"YUEL","PRGL2"," ",414716.4026,221.992977,1735.71474,6
282,"Polygon",283,26,"Sandy","Loamy","Clayey",6504750.434,21,"FLCE","LATR2","LYBE",606360.9239,3696.510029,601449.8879,2
283,"Polygon",284,26,"Sandy","Loamy","Clayey",6504750.434,22,"FLCE","LATR2","PLMU3",2217269.929,4233.90066,494362.2049,2
284,"Polygon",285,26,"Sandy","Loamy","Clayey",6504750.434,24,"FLCE","LYBE","PLMU3",285531.8971,2553.273965,285531.8971,2
285,"Polygon",286,26,"Sandy","Loamy","Clayey",6504750.434,25,"FLCE","PLMU3"," ",293183.9004,2773.41851,223299.5483,2
286,"Polygon",287,26,"Sandy","Loamy","Clayey",6504750.434,28,"FLCE","PLMU3","SCBR2",7147095.878,8052.97898,1035433.858,2
287,"Polygon",288,26,"Sandy","Loamy","Clayey",6504750.434,33,"FLCE","SCBR2","PLMU3",17413694.84,1449.066283,59667.13328,2
288,"Polygon",289,26,"Sandy","Loamy","Clayey",6504750.434,38,"LATR2"," "," ",814026.9469,1002.809164,54789.40676,2
289,"Polygon",290,26,"Sandy","Loamy","Clayey",6504750.434,40,"LATR2","FLCE"," ",432781.2282,4869.766306,418710.5628,2
290,"Polygon",291,26,"Sandy","Loamy","Clayey",6504750.434,41,"LATR2","FLCE","BOCU",103218.9627,1544.843056,103218.9627,2
291,"Polygon",292,26,"Sandy","Loamy","Clayey",6504750.434,42,"LATR2","FLCE","MUPO2",4064330.818,8945.273633,625546.423,2
292,"Polygon",293,26,"Sandy","Loamy","Clayey",6504750.434,43,"LATR2","FLCE","PLMU3",43342492.31,8776.649883,1459207.533,2
293,"Polygon",294,26,"Sandy","Loamy","Clayey",6504750.434,44,"LATR2","FLCE","PRGL2",4058201.27,4295.46692,460967.5064,2
294,"Polygon",295,26,"Sandy","Loamy","Clayey",6504750.434,60,"PLMU3","MUPO2","LATR2",427479.9829,1952.06679,200365.5106,1
295,"Polygon",296,26,"Sandy","Loamy","Clayey",6504750.434,63,"PLMU3","SCBR2"," ",1297601.537,1612.244302,93443.87298,1
296,"Polygon",297,26,"Sandy","Loamy","Clayey",6504750.434,67,"PLMU3","SCBR2","PRGL2",1165251.326,1170.199244,16806.10239,4
297,"Polygon",298,27,"Sandy","Loamy","Deep sand",154795964.8,3,"ARPU9","SPFL2"," ",583649.5255,1502.459251,96304.38263,2
298,"Polygon",299,27,"Sandy","Loamy","Deep sand",154795964.8,6,"Bare"," "," ",672734.5624,1680.79271,88437.58721,7
299,"Polygon",300,27,"Sandy","Loamy","Deep sand",154795964.8,7,"BOER4","ARPU9","SPFL2",553870.958,4004.306034,553870.958,1
300,"Polygon",301,27,"Sandy","Loamy","Deep sand",154795964.8,16,"EPHEDRA","YUEL","PRGL2",72313.04368,1023.027332,72313.04368,6
301,"Polygon",302,27,"Sandy","Loamy","Deep sand",154795964.8,17,"EPHEDRA","PRGL2","YUEL",116963.9621,699.820603,22035.88232,6
302,"Polygon",303,27,"Sandy","Loamy","Deep sand",154795964.8,19,"FLCE","ATCA2"," ",79659.00781,1200.953423,79659.00781,2
303,"Polygon",304,27,"Sandy","Loamy","Deep sand",154795964.8,20,"FLCE","CELA","LYBE",9946.841838,404.874595,9946.841838,2
304,"Polygon",305,27,"Sandy","Loamy","Deep sand",154795964.8,22,"FLCE","LATR2","PLMU3",2217269.929,8120.613656,316309.8921,2
305,"Polygon",306,27,"Sandy","Loamy","Deep sand",154795964.8,27,"FLCE","PLMU3","PRGL2",1053634.346,4436.508269,318133.9024,2
306,"Polygon",307,27,"Sandy","Loamy","Deep sand",154795964.8,28,"FLCE","PLMU3","SCBR2",7147095.878,15684.26646,2635908.523,2
307,"Polygon",308,27,"Sandy","Loamy","Deep sand",154795964.8,29,"FLCE","PLMU3","SPAI",6405086.61,13573.13107,6393445.616,2
308,"Polygon",309,27,"Sandy","Loamy","Deep sand",154795964.8,31,"FLCE","PRGL2","SCBR2",523709.4407,3113.571746,410952.8756,2
309,"Polygon",310,27,"Sandy","Loamy","Deep sand",154795964.8,32,"FLCE","SCBR2"," ",97830.09883,1632.843461,78153.96739,2
310,"Polygon",311,27,"Sandy","Loamy","Deep sand",154795964.8,33,"FLCE","SCBR2","PLMU3",17413694.84,57637.60875,15856143.75,2
311,"Polygon",312,27,"Sandy","Loamy","Deep sand",154795964.8,34,"FLCE","SPAI","SCBR2",2576110.634,9052.864368,2240011.041,2
312,"Polygon",313,27,"Sandy","Loamy","Deep sand",154795964.8,43,"LATR2","FLCE","PLMU3",43342492.31,49377.97322,24855559.56,2
313,"Polygon",314,27,"Sandy","Loamy","Deep sand",154795964.8,45,"LATR2","FLCE","PRGL2",2099690.965,8749.638077,975565.955,2
314,"Polygon",315,27,"Sandy","Loamy","Deep sand",154795964.8,52,"LATR2","PRGL2","FLCE",47405692.14,42022.53724,7107682.079,2
315,"Polygon",316,27,"Sandy","Loamy","Deep sand",154795964.8,54,"LATR2","PRGL2","FLCE",25483520.6,21666.57704,4300723.571,2
316,"Polygon",317,27,"Sandy","Loamy","Deep sand",154795964.8,57,"PLMU3"," "," ",397142.9198,564.870466,22882.50083,1
317,"Polygon",318,27,"Sandy","Loamy","Deep sand",154795964.8,58,"PLMU3","FLCE","SCBR2",1163875.112,8639.255213,868480.4476,1
318,"Polygon",319,27,"Sandy","Loamy","Deep sand",154795964.8,62,"PLMU3","PRGL2","SCBR2",403110.3252,2938.36442,96874.86969,1
319,"Polygon",320,27,"Sandy","Loamy","Deep sand",154795964.8,63,"PLMU3","SCBR2"," ",1297601.537,2068.692828,83255.88817,1
320,"Polygon",321,27,"Sandy","Loamy","Deep sand",154795964.8,64,"PLMU3","SCBR2","FLCE",261641.6974,45.355258,75.108152,2
321,"Polygon",322,27,"Sandy","Loamy","Deep sand",154795964.8,66,"PLMU3","SCBR2","OPUNT",1257991.714,6769.511241,1233979.954,1
322,"Polygon",323,27,"Sandy","Loamy","Deep sand",154795964.8,67,"PLMU3","SCBR2","PRGL2",1165251.326,728.347141,15846.59376,1
323,"Polygon",324,27,"Sandy","Loamy","Deep sand",154795964.8,68,"PLMU3","SCBR2","RHMI3",41597.59015,1007.904482,41597.59015,1
324,"Polygon",325,27,"Sandy","Loamy","Deep sand",154795964.8,70,"PLMU3","SPAI","PRGL2",138385.6004,2164.187699,138385.6004,1
325,"Polygon",326,27,"Sandy","Loamy","Deep sand",154795964.8,71,"PLMU3","SPAI","SCBR2",1583932.87,9295.762869,1583932.87,1
326,"Polygon",327,27,"Sandy","Loamy","Deep sand",154795964.8,72,"PRGL2","ARPU9","BOER4",3430579.187,12402.46747,3430579.187,1
327,"Polygon",328,27,"Sandy","Loamy","Deep sand",154795964.8,73,"PRGL2","ARPU9","GUSA2",1581777.474,5929.596015,1571442.364,1
328,"Polygon",329,27,"Sandy","Loamy","Deep sand",154795964.8,76,"PRGL2","BOER4","ARPU9",578165.2687,3354.400601,578165.2687,1
329,"Polygon",330,27,"Sandy","Loamy","Deep sand",154795964.8,78,"PRGL2","BOER4","YUEL",8985471.574,4356.196034,844908.1197,1
330,"Polygon",331,27,"Sandy","Loamy","Deep sand",154795964.8,79,"PRGL2","FLCE","PLMU3",3200987.036,8742.764545,2984132.203,1
331,"Polygon",332,27,"Sandy","Loamy","Deep sand",154795964.8,81,"PRGL2","LATR2","FLCE",500214.3077,4612.182634,436076.0724,1
332,"Polygon",333,27,"Sandy","Loamy","Deep sand",154795964.8,83,"PRGL2","PLMU3"," ",2662502.849,928.291986,19333.93589,1
333,"Polygon",334,27,"Sandy","Loamy","Deep sand",154795964.8,84,"PRGL2","PLMU3","ARPU9",130268.8802,2222.914367,130268.8802,1
334,"Polygon",335,27,"Sandy","Loamy","Deep sand",154795964.8,86,"PRGL2","PLMU3","SCBR2",7980669.164,28280.56316,6843884.468,1
335,"Polygon",336,27,"Sandy","Loamy","Deep sand",154795964.8,87,"PRGL2","PLMU3","SPAI",2179474.814,15977.14205,813763.0836,1
336,"Polygon",337,27,"Sandy","Loamy","Deep sand",154795964.8,88,"PRGL2","RHMI3","SCBR2",47370.77851,1589.990922,47370.77851,1
337,"Polygon",338,27,"Sandy","Loamy","Deep sand",154795964.8,90,"PRGL2","SCBR2","ARPU9",135352.1206,1718.942354,135352.1206,1
338,"Polygon",339,27,"Sandy","Loamy","Deep sand",154795964.8,91,"PRGL2","SCBR2","PLMU3",5336197.438,24263.47145,5309101.709,1
339,"Polygon",340,27,"Sandy","Loamy","Deep sand",154795964.8,93,"PRGL2","SPFL2","GUSA2",21268255.85,30506.49817,8604299.74,1
340,"Polygon",341,27,"Sandy","Loamy","Deep sand",154795964.8,94,"PRGL2","SPFL2","YUEL",10553949.99,21375.3169,5818713.479,2
341,"Polygon",342,27,"Sandy","Loamy","Deep sand",154795964.8,95,"PRGL2","YUEL","ARPU9",3571571.024,18791.03656,2550294.062,1
342,"Polygon",343,27,"Sandy","Loamy","Deep sand",154795964.8,98,"PRGL2","YUEL","FLCE",1557292.909,3064.229777,504948.5172,1
343,"Polygon",344,27,"Sandy","Loamy","Deep sand",154795964.8,100,"PRGL2","YUEL","SPFL2",6825353.19,2587.877369,306455.9041,1
344,"Polygon",345,27,"Sandy","Loamy","Deep sand",154795964.8,101,"PRGL2"," "," ",57616084.18,30137.11681,3494380.305,1
345,"Polygon",346,27,"Sandy","Loamy","Deep sand",154795964.8,105,"PRGL2","ARPU9"," ",7035118.013,6111.551605,458228.6198,1
346,"Polygon",347,27,"Sandy","Loamy","Deep sand",154795964.8,107,"PRGL2","ATCA2"," ",9995894.241,2167.007385,171795.3031,1
347,"Polygon",348,27,"Sandy","Loamy","Deep sand",154795964.8,110,"PRGL2","ATCA2","PLMU3",113981.748,1022.835346,27820.1564,1
348,"Polygon",349,27,"Sandy","Loamy","Deep sand",154795964.8,111,"PRGL2","ATCA2","SPAI",1037668.452,4565.087784,961554.2501,1
349,"Polygon",350,27,"Sandy","Loamy","Deep sand",154795964.8,112,"PRGL2","ATCA2","YUEL",938874.3449,1502.598682,81176.93273,1
350,"Polygon",351,27,"Sandy","Loamy","Deep sand",154795964.8,114,"PRGL2","BOER4","YUEL",586744.0089,3504.414108,586744.0089,1
351,"Polygon",352,27,"Sandy","Loamy","Deep sand",154795964.8,115,"PRGL2","CELA","SCBR2",326787.7083,2975.078333,326640.1353,1
352,"Polygon",353,27,"Sandy","Loamy","Deep sand",154795964.8,116,"PRGL2","FLCE","ATCA2",3507236.075,13481.00719,2375032.428,1
353,"Polygon",354,27,"Sandy","Loamy","Deep sand",154795964.8,117,"PRGL2","FLCE","LATR2",1520696.644,2665.200658,184682.0022,4
354,"Polygon",355,27,"Sandy","Loamy","Deep sand",154795964.8,118,"PRGL2","GUSA2"," ",29724873.71,34674.95981,5101575.042,1
355,"Polygon",356,27,"Sandy","Loamy","Deep sand",154795964.8,121,"PRGL2","LATR2","FLCE",2844662.926,10432.42749,1746655.685,1
356,"Polygon",357,27,"Sandy","Loamy","Deep sand",154795964.8,123,"PRGL2","PLMU3","FLCE",64237.02013,1044.252365,64237.02013,1
357,"Polygon",358,27,"Sandy","Loamy","Deep sand",154795964.8,125,"PRGL2","SCBR2","PLMU3",214669.9754,5531.52819,213068.9299,1
358,"Polygon",359,27,"Sandy","Loamy","Deep sand",154795964.8,128,"PRGL2","SPFL2","YUEL",5514872.158,12982.61633,2900983.938,2
359,"Polygon",360,27,"Sandy","Loamy","Deep sand",154795964.8,129,"PRGL2","YUEL","ARPU9",410110.9343,2013.22706,70912.60616,1
360,"Polygon",361,27,"Sandy","Loamy","Deep sand",154795964.8,130,"PRGL2","YUEL","GUSA2",12676395.23,2372.280312,78355.97296,1
361,"Polygon",362,27,"Sandy","Loamy","Deep sand",154795964.8,132,"PRGL2","ATCA2"," ",61344184.43,3232.382862,94796.14859,1
362,"Polygon",363,27,"Sandy","Loamy","Deep sand",154795964.8,133,"PRGL2","GUSA2"," ",39354090.54,25199.56358,2246912.68,1
363,"Polygon",364,27,"Sandy","Loamy","Deep sand",154795964.8,136,"PSSC6","SPFL2","YUEL",796861.1881,3787.032837,226154.5948,4
364,"Polygon",365,27,"Sandy","Loamy","Deep sand",154795964.8,137,"PSSC6","YUEL","SPFL2",1601384.945,6217.182482,1599385.842,4
365,"Polygon",366,27,"Sandy","Loamy","Deep sand",154795964.8,138,"SCBR2"," "," ",1911456.447,17886.81298,1873927.551,1
366,"Polygon",367,27,"Sandy","Loamy","Deep sand",154795964.8,139,"SCBR2","BOER4"," ",484912.749,2945.040494,484912.749,1
367,"Polygon",368,27,"Sandy","Loamy","Deep sand",154795964.8,140,"SCBR2","BOER4","ARPU9",335337.3538,2375.551586,309002.2468,1
368,"Polygon",369,27,"Sandy","Loamy","Deep sand",154795964.8,141,"SCBR2","BOER4","PLMU3",1224557.212,6954.16711,1224557.212,1
369,"Polygon",370,27,"Sandy","Loamy","Deep sand",154795964.8,142,"SCBR2","FLCE"," ",154354.5627,1937.099268,154354.5627,1
370,"Polygon",371,27,"Sandy","Loamy","Deep sand",154795964.8,143,"SCBR2","FLCE","PLMU3",212469.5219,817.505948,24453.32727,1
371,"Polygon",372,27,"Sandy","Loamy","Deep sand",154795964.8,144,"SCBR2","FLCE","SPAI",921956.4758,5155.578499,921956.4758,1
372,"Polygon",373,27,"Sandy","Loamy","Deep sand",154795964.8,145,"SCBR2","KOSP"," ",1174020.295,8295.233665,1045768.612,1
373,"Polygon",374,27,"Sandy","Loamy","Deep sand",154795964.8,146,"SCBR2","KOSP","PRGL2",751580.3347,4268.046587,463855.301,1
374,"Polygon",375,27,"Sandy","Loamy","Deep sand",154795964.8,147,"SCBR2","PLMU3"," ",2426297.229,8818.373669,993672.0593,1
375,"Polygon",376,27,"Sandy","Loamy","Deep sand",154795964.8,148,"SCBR2","PLMU3","FLCE",1716426.24,8740.360026,1562448.659,1
376,"Polygon",377,27,"Sandy","Loamy","Deep sand",154795964.8,149,"SCBR2","PLMU3","OPUNT",3546573.362,26178.01172,3500378.436,1
377,"Polygon",378,27,"Sandy","Loamy","Deep sand",154795964.8,150,"SCBR2","PLMU3","PRGL2",1038263.18,7254.610818,998146.9905,1
378,"Polygon",379,27,"Sandy","Loamy","Deep sand",154795964.8,151,"SCBR2","PRGL2"," ",37726.43016,768.294064,37726.43016,1
