"OBJECTID..","Shape..","TARGET_FID","soil_mu","SSURGO_dat","MLRA","LRU","Subres_are","ecosite1","ecosite2","ecosite3","esite","esite_alt","esite_alt2","state_code","State1","State2","State3","DomVeg","dom1","dom2","dom3","dom4","hist_state","grass_dur","ration","ration_dat","remarks","veri_esite","veri_state","esite_veri","state_veri","esite_corr","state_corr","date_chang","agency","person","corr_type","corr_reaso","chng_reaso","old_esite","old_state","old_remark","LU","Shape_Length","Shape_Area","FGString","Dom1FG","Dom2FG","Dom3FG","State1Char","State2Char","State3Char"
1873,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","<Null>",647,6,4,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",5691.260788,173215.9978,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland","Bare/Annuals"
1874,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",26.309273,24.563329,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1875,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",647,6,4,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",1219.021939,32566.0023,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland","Bare/Annuals"
1876,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",147,1,4,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",1525.979123,42932.49886,"NA,NA,NA",NA,NA,NA,"Grassland","ShrubInvadedGrassland","Bare/Annuals"
1877,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","<Null>",647,6,4,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",2344.997765,25095.45012,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland","Bare/Annuals"
1878,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",279.295619,2690.178151,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1879,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",154.643701,1487.319388,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1880,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","<Null>",647,6,4,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",5318.28818,94677.59869,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland","Bare/Annuals"
1881,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Bottomland",674,6,7,4,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","3/10/2021","USDA","LMB"," "," "," "," ","700"," ","0",721.672045,11384.5824,"NA,NA,NA",NA,NA,NA,"Shrubland","Bare/Annuals","ShrubInvadedGrassland"
1882,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Draw","Loamy","Sandy",247,2,4,7,"NA,,NA",NA,"",NA,NA,"700","perennial","photo interpretation"," ","<Null>","yes","yes","<Null>","<Null>","<Null>","<Null>","3/18/2021","USDA","LMB"," "," "," "," ","700"," ","0",2109.814392,100172.2336,"NA,NA,NA",NA,NA,NA,"AlteredGrassland/Savanna","ShrubInvadedGrassland","Bare/Annuals"
1883,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",647,6,4,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",5298.726677,154661.9458,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland","Bare/Annuals"
1884,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","3/10/2021","USDA","LMB"," "," "," "," ","700"," ","0",25776.43618,830655.2929,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1885,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",147,1,4,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",3340.423558,99229.64126,"NA,NA,NA",NA,NA,NA,"Grassland","ShrubInvadedGrassland","Bare/Annuals"
1886,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",356.571055,5209.784052,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1887,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",786.175383,14585.86914,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1888,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",1820.063024,43113.61416,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1889,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",7350.821413,243971.828,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1890,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",647,6,4,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",6422.803471,371271.8182,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland","Bare/Annuals"
1891,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",306.564329,4901.833987,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1892,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",467,4,6,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",1405.758028,22878.81134,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Shrubland","Bare/Annuals"
1893,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",2676.649515,85578.11392,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1894,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",5.556804,0.414594,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1895,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",18.17278,11.851213,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1896,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",45.540592,17.691324,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1897,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",247,2,4,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",9124.715581,313267.1535,"NA,NA,NA",NA,NA,NA,"AlteredGrassland/Savanna","ShrubInvadedGrassland","Bare/Annuals"
1898,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",467,4,6,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","3/10/2021","USDA","LMB"," "," "," "," ","700"," ","0",3727.311336,63984.99434,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Shrubland","Bare/Annuals"
1899,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Bottomland","Draw",147,1,4,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","3/10/2021","USDA","LMB"," "," "," "," ","700"," ","0",3866.494422,163237.1107,"NA,NA,NA",NA,NA,NA,"Grassland","ShrubInvadedGrassland","Bare/Annuals"
1900,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",467,4,6,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",426.767676,6270.200829,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Shrubland","Bare/Annuals"
1901,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",4040.822446,116614.7627,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1902,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",147,1,4,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",3161.751665,99710.23906,"NA,NA,NA",NA,NA,NA,"Grassland","ShrubInvadedGrassland","Bare/Annuals"
1903,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",4956.519138,98737.49162,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1904,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",147,1,4,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",3358.015987,70905.8797,"NA,NA,NA",NA,NA,NA,"Grassland","ShrubInvadedGrassland","Bare/Annuals"
1905,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",25.08815,21.496668,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1906,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",730.770029,14299.82321,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1907,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",874.913632,16661.17383,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1908,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",1110.216294,21098.03757,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1909,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",1162.018011,22802.97493,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1910,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",647,6,4,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",7073.563653,116126.4998,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland","Bare/Annuals"
1911,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",10449.00829,469600.7283,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1912,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",195.323054,2329.38731,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1913,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",2211.086749,37795.77843,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1914,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",1245.680277,41712.38043,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1915,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",764,7,6,4,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",279.073127,5137.409268,"NA,NA,NA",NA,NA,NA,"Bare/Annuals","Shrubland","ShrubInvadedGrassland"
1919,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",305.410736,5277.199465,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1920,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",363.369433,5963.391579,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1921,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",488.12921,8313.645035,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1922,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",467,4,6,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",7802.336186,212384.7152,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Shrubland","Bare/Annuals"
1923,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",467,4,6,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",5740.630916,129141.6944,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Shrubland","Bare/Annuals"
1924,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",218.496956,2892.486993,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1925,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",863.980718,12550.26581,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1926,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",2900.054509,47346.08093,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
1927,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","3/10/2021","USDA","LMB"," "," "," "," ","700"," ","0",6898.761314,357221.4796,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
6724,"Polygon","1994","386","NM690","42X","42.2","SD-2","Bottomland","Limy","Salt Flats","Draw","Bottomland","Loamy",647,6,4,7,"NA,NA,NA",NA,NA,NA,NA,"147","<Null>","photo interpretation","<Null>","<Null>","yes","yes","<Null>","<Null>","<Null>","<Null>","3/15/2021","USDA","LMB","ecosite","<Null>","<Null>","<Null>","147","<Null>","0",1111.164553,16994.88811,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland","Bare/Annuals"
1928,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Draw","Sandy",674,6,7,4,"NA,,NA",NA,"",NA,NA,"700","<Null>","photo interpretation"," ","incised","yes","yes","<Null>","<Null>","<Null>","<Null>","3/18/2021","USDA","LMB"," "," "," "," ","700"," ","0",23750.62741,1198694.419,"NA,NA,NA",NA,NA,NA,"Shrubland","Bare/Annuals","ShrubInvadedGrassland"
1929,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",467,4,6,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/28/2019","USDA","LMB"," "," "," "," ","700"," ","0",6778.241039,158979.137,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Shrubland","Bare/Annuals"
1930,"Polygon","2868","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Loamy","Sandy","Draw",417,4,1,7,"NA,,NA",NA,"",NA,NA,"700","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","3/10/2021","USDA","LMB"," "," "," "," ","700"," ","0",2542.247148,88401.81699,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","Grassland","Bare/Annuals"
6306,"Polygon","1234","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Sandy","Loamy","Gravelly",640,6,4,0,"NA,NA,NA",NA,NA,NA,NA,"400","perennial","photo interpretation"," ","<Null>","yes","yes","<Null>","<Null>","<Null>","<Null>","8/30/2019","USDA","LMB"," "," "," "," ","400"," ","0",3474.58801,145271.6613,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland",NA
6307,"Polygon","1234","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Sandy","Loamy","Gravelly",640,6,4,0,"NA,NA,NA",NA,NA,NA,NA,"400","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/30/2019","USDA","LMB"," "," "," "," ","400"," ","0",1661.806792,47868.30978,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland",NA
6309,"Polygon","1234","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Gravelly","Sandy","Loamy",560,5,6,0,"NA,NA,NA",NA,NA,NA,NA,"400","perennial","photo interpretation"," ","<Null>","yes","yes","<Null>","<Null>","<Null>","<Null>","3/11/2021","USDA","LMB"," "," "," "," ","400"," ","0",1409.297597,31215.73584,"NA,NA,NA",NA,NA,NA,"ShrubDominated","Shrubland",NA
