OBJECTID *,Shape *,TARGET_FID,soil_mu,SSURGO_dat,MLRA,LRU,Subres_are,ecosite1,ecosite2,ecosite3,esite,esite_alt,esite_alt2,state_code,dom1,dom2,dom3,dom4,hist_state,grass_dur,ration,ration_dat,remarks,veri_esite,veri_state,esite_veri,state_veri,esite_corr,state_corr,date_chang,agency,person,corr_type,corr_reaso,chng_reaso,old_esite,old_state,old_remark,LU,Shape_Length,Shape_Area
1096,Polygon,1733,WH,NM690,42X,42.2,SD-2,Sandy,Shallow sandy, ,Loamy,Sandy, ,420, ,<Null>, ,<Null>,124,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,10/21/2020,USDA,LMB, , , , ,124, ,0,2003.139688,53291.73087
1097,Polygon,1734,WH,NM690,42X,42.2,SD-2,Sandy,Shallow sandy, ,Loamy,Bottomland,Draw,214, ,<Null>, ,<Null>,100,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,10/21/2020,USDA,LMB, , , , ,100, ,0,2251.502703,135721.3205
1098,Polygon,1735,WH,NM690,42X,42.2,SD-2,Sandy,Shallow sandy, ,Loamy,Sandy, ,462, ,<Null>, ,<Null>,124,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,10/21/2020,USDA,LMB, , , , ,124, ,0,738.938697,25379.77561
1099,Polygon,1736,WH,NM690,42X,42.2,SD-2,Sandy,Shallow sandy, ,Loamy,Bottomland,Sandy,421, ,<Null>, ,<Null>,100,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , , , ,100, ,0,1397.668948,37763.99164
1100,Polygon,1737,WH,NM690,42X,42.2,SD-2,Sandy,Shallow sandy, ,Sandy,Loamy,Shallow sandy,124, ,<Null>, ,<Null>,124,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,8/11/2020,USDA,LMB, , , , ,124, ,0,688.542386,15971.26543
1101,Polygon,1738,WH,NM690,42X,42.2,SD-2,Sandy,Shallow sandy, ,Loamy,Sandy,Shallow sandy,420, ,<Null>, ,<Null>,124,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,8/11/2020,USDA,LMB, , , , ,124, ,0,862.168832,17603.67446
1102,Polygon,1739,WH,NM690,42X,42.2,SD-2,Sandy,Shallow sandy, ,Loamy,Sandy,Shallow sandy,241, ,<Null>, ,<Null>,124,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,8/11/2020,USDA,LMB, , , , ,124, ,0,955.122428,22056.9275
1103,Polygon,1740,WH,NM690,42X,42.2,SD-2,Sandy,Shallow sandy, ,Loamy,Sandy,Shallow sandy,124, ,<Null>, ,<Null>,100,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,8/11/2020,USDA,LMB, , , , ,100, ,0,2228.005655,119764.9546
1104,Polygon,1741,WH,NM690,42X,42.2,SD-2,Sandy,Shallow sandy, ,Loamy,Sandy, ,247, ,<Null>, ,<Null>,124,perennial,existing point inventory data, ,"3 polygons: 127, 240, 247",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , , , ,124, ,0,5304.223396,290221.0949
1105,Polygon,1742,WH,NM690,42X,42.2,SD-2,Sandy,Shallow sandy, ,Shallow sandy,Sandy,Loamy,124, ,<Null>, ,<Null>,124,perennial,existing point inventory data, ,Traverse points,yes,yes,<Null>,<Null>,<Null>,<Null>,8/13/2020,USDA,LMB, , , , ,124, ,0,2239.098025,127108.5749
1106,Polygon,1743,WH,NM690,42X,42.2,SD-2,Sandy,Shallow sandy, ,Sandy,Shallow sandy,Loamy,241, ,<Null>, ,<Null>,124,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,8/11/2020,USDA,LMB, , , , ,124, ,0,3908.19018,287365.1466
1107,Polygon,1744,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Clayey,Bottomland,421,<Null>,<Null>,<Null>,<Null>,100,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,10/21/2020,USDA,LMB, , , , ,100, ,0,1604.12105,65332.78744
1108,Polygon,1745,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Sandy,Bottomland,427,<Null>,<Null>,<Null>,<Null>,147,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,10/21/2020,USDA,LMB, , , , ,147, ,0,4309.006794,244601.4619
1109,Polygon,1746,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Clayey,Bottomland,214,<Null>,,<Null>, ,120,<Null>,existing point inventory data, ,Traverse 251,yes,yes,<Null>,<Null>,<Null>,<Null>,10/21/2020,USDA,LMB, , , , ,120, ,0,8838.506387,899307.5647
1113,Polygon,1774,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Draw,Bottomland,724,<Null>,<Null>,<Null>,<Null>,740,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , , , ,740, ,0,1206.734734,27657.13226
1114,Polygon,1775,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Draw,<Null>,427,<Null>,<Null>,<Null>,<Null>,140,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , ,<Null>, ,140, ,0,8098.206274,262797.3695
1115,Polygon,1780,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Draw,Sandy,724,<Null>,<Null>,<Null>,<Null>,470,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , , , ,470, ,0,1050.666419,16032.89721
1116,Polygon,1782,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Draw,<Null>,427,<Null>,<Null>,<Null>,<Null>,140,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , , , ,140, ,0,1356.596269,22355.35837
1117,Polygon,1783,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Draw,Bottomland,417,<Null>,<Null>,<Null>,<Null>,140,<Null>,existing point inventory data, ,seed bank 126,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , ,Other reason - please enter in comments table, ,140, ,0,958.562315,18284.24512
1118,Polygon,1784,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Sandy,Draw,427,<Null>,<Null>,<Null>,<Null>,470,perennial,existing point inventory data, ,Seedbank 126,yes,yes,<Null>,<Null>,<Null>,<Null>,9/18/2020,USDA,LMB, , , , ,470, ,0,4058.916383,143386.0786
1119,Polygon,1788,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Draw,Sandy,147,<Null>,<Null>,<Null>,<Null>,147,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , , , ,147, ,0,5077.138638,148603.8334
1120,Polygon,1789,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Sandy,<Null>,647,<Null>,<Null>,<Null>,<Null>,470,perennial,site visit, ,seed bank 34,yes,yes,<Null>,<Null>,<Null>,<Null>,9/18/2020,USDA,LMB, , , , ,470, ,0,4834.442254,71667.70097
1121,Polygon,1790,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Sandy,Bottomland,467,<Null>,<Null>,<Null>,<Null>,400,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , , , ,400, ,0,1930.736812,38103.36342
1122,Polygon,1791,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Bottomland,Draw,147,<Null>,,<Null>, ,147,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , , , ,147, ,0,2010.304172,45069.83765
1123,Polygon,1793,WH,NM690,42X,42.2,SD-2,Sandy,Shallow sandy, ,Sandy,Loamy, ,420,<Null>,<Null>, ,<Null>,410,<Null>,existing point inventory data, ,R4 quad,yes,yes,<Null>,<Null>,<Null>,<Null>,8/11/2020,USDA,LMB, , , , ,410, ,0,3014.990847,153066.8742
1124,Polygon,1820,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Sandy,Draw,274,<Null>,<Null>,<Null>,<Null>,270,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,9/18/2020,USDA,LMB, , , , ,270, ,0,1106.627684,29272.5823
1125,Polygon,1822,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Sandy,Draw,217,<Null>,<Null>,<Null>,<Null>,270,perennial,site visit, ,"seed bank study 150, traverse",yes,yes,<Null>,<Null>,<Null>,<Null>,9/18/2020,USDA,LMB, , , , ,270, ,0,2129.467605,103757.5017
1126,Polygon,1824,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Draw,Sandy,427,<Null>,<Null>,<Null>,<Null>,140,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,9/18/2020,USDA,LMB, , , , ,140, ,0,338.485857,3711.672708
1127,Polygon,1825,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Draw,Sandy,147,<Null>,<Null>,<Null>,<Null>,140,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,9/18/2020,USDA,LMB, , , , ,140, ,0,353.798011,5456.492609
1128,Polygon,1826,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Sandy,Loamy,<Null>,426,<Null>,<Null>,<Null>,<Null>,420,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,9/18/2020,USDA,LMB, , , , ,420, ,0,5712.382231,126828.2484
1129,Polygon,1827,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Bottomland,Draw,427,<Null>,<Null>,<Null>,<Null>,200,<Null>,existing point inventory data, ,seed bank 137,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , , , ,200, ,0,682.019557,23679.05183
1130,Polygon,1828,BJ,NM690,42X,42.2,SD-2,Sandy,Deep sand, ,Sandy,<Null>, ,249, ,<Null>, ,<Null>,400,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,8/13/2020,USDA,LMB, , , , ,400, ,0,1057.713853,24939.7821
1131,Polygon,1829,BJ,NM690,42X,42.2,SD-2,Sandy,Deep sand, ,Sandy,Shallow sandy, ,942, ,<Null>, ,<Null>,400,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,11/19/2020,USDA,LMB, , , , ,400, ,0,1724.094518,64668.60537
1132,Polygon,1830,BJ,NM690,42X,42.2,SD-2,Sandy,Deep sand, ,Sandy,Loamy, ,241, ,<Null>, ,<Null>,400,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,11/19/2020,USDA,LMB, , , , ,400, ,0,1953.959796,35228.4948
1133,Polygon,1831,BJ,NM690,42X,42.2,SD-2,Sandy,Deep sand, ,Sandy,<Null>,<Null>,241, ,<Null>, ,<Null>,400,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,8/13/2020,USDA,LMB, , , , ,400, ,0,2285.962705,110714.447
1134,Polygon,1832,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Draw,Sandy,724,<Null>,<Null>,<Null>,<Null>,700,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , , , ,700, ,0,3520.135014,35614.86689
1135,Polygon,1835,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Draw,Sandy,724,<Null>,<Null>,<Null>,<Null>,700,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/18/2021,USDA,LMB, , , , ,700, ,0,19869.1786,278067.8968
1136,Polygon,1837,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Tank,<Null>,<Null>,12,<Null>,<Null>,<Null>,<Null>,12,<Null>,photo interpretation, ,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/29/2020,USDA,LMB, , , , ,12, ,0,229.432024,2735.943784
7241,Polygon,1936,64,NM690,42X,42.2,SD-2,Gravelly,Loamy, ,Draw,Bottomland,Loamy,467,<Null>,<Null>,<Null>,<Null>,500,perennial,photo interpretation,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,9/29/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,599.702279,16056.67507
7260,Polygon,2566,625,NM690,42X,42.2,SD-2,Loamy, , ,Draw,Loamy,Gravelly,647,<Null>,<Null>,<Null>,<Null>,400,<Null>,photo interpretation,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,3/17/2021,USDA,LMB,<Null>,<Null>,<Null>,<Null>,400,<Null>,0,2208.577351,30855.68525
7271,Polygon,1994,386,NM690,42X,42.2,SD-2,Bottomland,Limy,Salt Flats,Draw,Bottomland,Loamy,417,<Null>,<Null>,<Null>,<Null>,147,<Null>,photo interpretation,<Null>,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/17/2021,USDA,LMB,ecosite,<Null>,<Null>,<Null>,147,<Null>,0,5898.542153,139483.3523
7297,Polygon,1994,386,NM690,42X,42.2,SD-2,Bottomland,Limy,Salt Flats,Gravelly,Loamy,Draw,560,<Null>,<Null>,<Null>,<Null>,147,<Null>,<Null>,<Null>,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/17/2021,USDA,LMB,ecosite,<Null>,<Null>,<Null>,147,<Null>,0,183.264562,1416.612684
7298,Polygon,1994,386,NM690,42X,42.2,SD-2,Bottomland,Limy,Salt Flats,Draw,Sandy,Gravelly,247,<Null>,<Null>,<Null>,<Null>,147,<Null>,<Null>,<Null>,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB,ecosite,<Null>,<Null>,<Null>,147,<Null>,0,696.258988,14746.0641
7300,Polygon,1994,386,NM690,42X,42.2,SD-2,Bottomland,Limy,Salt Flats,Draw,Bottomland,Loamy,417,<Null>,<Null>,<Null>,<Null>,147,<Null>,<Null>,<Null>,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/17/2021,USDA,LMB,ecosite,<Null>,<Null>,<Null>,147,<Null>,0,7893.646363,233584.8624
7301,Polygon,1994,386,NM690,42X,42.2,SD-2,Bottomland,Limy,Salt Flats,Draw,Loamy,Sandy,274,<Null>,<Null>,<Null>,<Null>,147,<Null>,<Null>,<Null>,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/17/2021,USDA,LMB,ecosite,<Null>,<Null>,<Null>,147,<Null>,0,3167.350129,100444.4609
7302,Polygon,1994,386,NM690,42X,42.2,SD-2,Bottomland,Limy,Salt Flats,Draw,Bottomland,Loamy,247,<Null>,<Null>,<Null>,<Null>,147,<Null>,<Null>,<Null>,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/17/2021,USDA,LMB,ecosite,<Null>,<Null>,<Null>,147,<Null>,0,676.366658,23878.23618
6970,Polygon,1994,386,NM690,42X,42.2,SD-2,Bottomland,Limy,Salt Flats,Draw,Loamy,Gravelly,647,<Null>,<Null>,<Null>,<Null>,147,<Null>,photo interpretation,<Null>,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/17/2021,USDA,LMB,ecosite,<Null>,<Null>,<Null>,147,<Null>,0,667.906674,7163.156627
6971,Polygon,1994,386,NM690,42X,42.2,SD-2,Bottomland,Limy,Salt Flats,Draw,Loamy,Gravelly,647,<Null>,<Null>,<Null>,<Null>,147,<Null>,photo interpretation,<Null>,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/17/2021,USDA,LMB,ecosite,<Null>,<Null>,<Null>,147,<Null>,0,1258.057638,11112.31763
6972,Polygon,1994,386,NM690,42X,42.2,SD-2,Bottomland,Limy,Salt Flats,Draw,Bottomland,Loamy,427,<Null>,<Null>,<Null>,<Null>,147,<Null>,photo interpretation,<Null>,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/17/2021,USDA,LMB,ecosite,<Null>,<Null>,<Null>,147,<Null>,0,22091.61517,481375.5783
6975,Polygon,1994,386,NM690,42X,42.2,SD-2,Bottomland,Limy,Salt Flats,Draw,Bottomland,Loamy,674,<Null>,<Null>,<Null>,<Null>,147,<Null>,photo interpretation,<Null>,incised,yes,yes,<Null>,<Null>,<Null>,<Null>,3/16/2021,USDA,LMB,ecosite,<Null>,<Null>,<Null>,147,<Null>,0,13180.12682,302447.4486
7243,Polygon,1994,386,NM690,42X,42.2,SD-2,Bottomland,Limy,Salt Flats,Draw,Bottomland,Loamy,427,<Null>,<Null>,<Null>,<Null>,147,<Null>,photo interpretation,<Null>,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/17/2021,USDA,LMB,ecosite,<Null>,<Null>,<Null>,147,<Null>,0,1357.64004,19657.32211
7244,Polygon,1994,386,NM690,42X,42.2,SD-2,Bottomland,Limy,Salt Flats,Draw,Loamy,Gravelly,467,<Null>,<Null>,<Null>,<Null>,147,<Null>,photo interpretation,<Null>,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/17/2021,USDA,LMB,ecosite,<Null>,<Null>,<Null>,147,<Null>,0,1338.638979,13444.36914
7616,Polygon,1925,625,NM690,42X,42.2,SD-2,Loamy, , ,Loamy,Gravelly loam,Gravelly,640,<Null>,<Null>,<Null>,<Null>,400,<Null>,photo interpretation,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,8/10/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,400,<Null>,0,1245.268191,35474.16712
7617,Polygon,1925,625,NM690,42X,42.2,SD-2,Loamy, , ,Gravelly,Gravelly loam,Loamy,650,<Null>,<Null>,<Null>,<Null>,400,<Null>,photo interpretation,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,3/23/2021,USDA,LMB,<Null>,<Null>,<Null>,<Null>,400,<Null>,0,911.646782,20477.74926
1137,Polygon,1843,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Clayey,Bottomland,274,<Null>,<Null>,<Null>,<Null>,700,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,10/21/2020,USDA,LMB, , , , ,700, ,0,1154.857511,38411.79714
1138,Polygon,1844,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Clayey,Loamy,Bottomland,724,<Null>,<Null>,<Null>,<Null>,700,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,10/21/2020,USDA,LMB, , , , ,700, ,0,1484.77349,31964.96259
1139,Polygon,1846,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Clayey,Sandy,726,<Null>,<Null>,<Null>,<Null>,700,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , , , ,700, ,0,16068.76533,304165.0218
1140,Polygon,1852,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Tank,<Null>,<Null>,12,<Null>,<Null>,<Null>,<Null>,12,<Null>,<Null>, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,11/20/2020,USDA,LMB, , , , ,12, ,0,364.498619,7818.504609
1141,Polygon,1853,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Tank,<Null>,<Null>,12,<Null>,<Null>,<Null>,<Null>,12,<Null>,<Null>, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,7/29/2020,USDA,LMB, , , , ,12, ,0,276.936728,4013.556592
1142,Polygon,1854,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Draw,Sandy,726,<Null>,<Null>,<Null>,<Null>,700,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , , , ,700, ,0,318.097847,3529.993568
1143,Polygon,1862,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Sandy,<Null>,274,PLMU3 - tobosagrass,SCBR2 - burrograss,FLCE - tarbush,<Null>,700,perennial,existing point inventory data, ,Traverse points,yes,yes,<Null>,<Null>,<Null>,<Null>,8/30/2019,USDA,LMB, , , , ,700, ,0,1030.896677,21801.33817
1144,Polygon,1865,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Bottomland,Draw,247,<Null>,<Null>,<Null>,<Null>,147,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , , , ,147, ,0,259.471554,4852.294702
1145,Polygon,1866,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Sandy,Loamy,Draw,462,<Null>,<Null>,<Null>,<Null>,500,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,10/20/2020,USDA,LMB, , , , ,500, ,0,3621.155704,126621.8238
1146,Polygon,1868,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Tank,<Null>,<Null>,12,<Null>,<Null>,<Null>,<Null>,12,<Null>,<Null>, ,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/30/2020,USDA,LMB, , , , ,12, ,0,333.808007,7508.567219
1147,Polygon,1869,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Sandy,<Null>,241,<Null>,<Null>,<Null>,<Null>,410,perennial,site visit, ,"seed bank 156, MODISRUE 49",yes,yes,<Null>,<Null>,<Null>,<Null>,9/18/2020,USDA,LMB, , , , ,410, ,0,3779.09656,201146.8461
1148,Polygon,1870,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Draw,Sandy,467,<Null>,<Null>,<Null>,<Null>,147,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , , , ,147, ,0,428.571341,4699.99098
1149,Polygon,1871,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Draw,Sandy,467,<Null>,<Null>,<Null>,<Null>,147,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , , , ,147, ,0,5375.20908,141289.6745
1150,Polygon,1873,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Draw,Bottomland,Sandy,627,<Null>,<Null>,<Null>,<Null>,400,perennial,<Null>, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,10/19/2020,USDA,LMB, , , , ,400, ,0,1989.953041,58329.94287
1151,Polygon,1877,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Draw,Bottomland,427,<Null>,<Null>,<Null>,<Null>,427,perennial,site visit, ,seed bank 160,yes,yes,<Null>,<Null>,<Null>,<Null>,9/18/2020,USDA,LMB, , , , ,427, ,0,1620.432214,88316.20399
1152,Polygon,1878,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Sandy,Draw,426,<Null>,<Null>,<Null>,<Null>,700,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,9/18/2020,USDA,LMB, , , , ,700, ,0,5762.365505,86288.95437
1153,Polygon,1882,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Sandy,Draw,427,<Null>,<Null>,<Null>,<Null>,147,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,9/18/2020,USDA,LMB, , , , ,147, ,0,989.596415,13755.64561
1154,Polygon,1883,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Sandy,Draw,217,<Null>,<Null>,<Null>,<Null>,147,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,9/18/2020,USDA,LMB, , , , ,147, ,0,1203.884363,33803.05091
1155,Polygon,1884,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Draw,Sandy,247,<Null>,<Null>,<Null>,<Null>,147,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,9/18/2020,USDA,LMB, , , , ,147, ,0,2757.810546,61637.07091
1156,Polygon,1885,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Sandy,Loamy,<Null>,462,<Null>,<Null>,<Null>,<Null>,740,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,9/18/2020,USDA,LMB, , , , ,740, ,0,1129.458511,13785.49981
1157,Polygon,1886,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Draw,Sandy,462,<Null>,<Null>,<Null>,<Null>,740,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,9/18/2020,USDA,LMB, , , , ,740, ,0,473.364379,5426.933446
1158,Polygon,1887,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Draw,Clayey,724,<Null>,<Null>,<Null>,<Null>,710,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , , , ,710, ,0,5419.694446,72162.33068
1159,Polygon,1889,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Sandy,Loamy,<Null>,426,<Null>,<Null>,<Null>,<Null>,700,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,9/18/2020,USDA,LMB, , , , ,700, ,0,1024.804986,13484.68744
1160,Polygon,1890,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Loamy,Sandy,Draw,647,<Null>,<Null>,<Null>,<Null>,400,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/10/2021,USDA,LMB, , , , ,400, ,0,356.393218,7544.729291
1161,Polygon,1907,818,NM690,42X,42.2,SD-2,Sandhills, , ,Deep sand,Sandhills, ,652,<Null>,<Null>,<Null>,<Null>,600,<Null>,<Null>,<Null>,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,600,<Null>,0,6262.976314,231280.696
1162,Polygon,1908,930,NM690,42X,42.2,SD-2,Draw,No ecosite, ,Drainage,Draw,Gravelly,567,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,24838.15493,403515.4466
